Kelvin,degC,Kx,Ky,Kz,delta_K,,spec_heat_kelvin,spec_heat_degC,spec_heat
293.15,20,318,78,318,24.52830189,,298.15,25,704
373.15,100,286,69,286,24.12587413,,473.15,200,1174
473.15,200,253,59,253,23.3201581,,573.15,300,1362
573.15,300,225,52,225,23.11111111,,673.15,400,1508
673.15,400,202,46,202,22.77227723,,773.15,500,1620
773.15,500,183,41,183,22.40437158,,873.15,600,1706
873.15,600,166,37,166,22.28915663,,973.15,700,1777
973.15,700,153,34,153,22.22222222,,1073.15,800,1836
1073.15,800,141,31,141,21.9858156,,1173.15,900,1883
1173.15,900,130,29,130,22.30769231,,1273.15,1000,1924
1273.15,1000,122,27,122,22.13114754,,1473.15,1200,2050
1373.15,1100,114,25,114,21.92982456,,2273.15,2000,2200
1473.15,1200,107,24,107,22.42990654,,,,
1573.15,1300,101,23,101,22.77227723,,,,
1673.15,1400,96,22,96,22.91666667,,,,
1773.15,1500,91,21,91,23.07692308,,,,
1873.15,1600,87,20,87,22.98850575,,,,
1973.15,1700,83,19,83,22.89156627,,,,
2073.15,1800,79,18,79,22.78481013,,,,
2173.15,1900,76,17,76,22.36842105,,,,
2273.15,2000,73,17,73,23.28767123,,,,
